DialogueID;VoiceID;Page;Clip_L1;
DID_Lusha_Story1_1reco_emotion2;EXAVITQu4vr4xnSDxMaL;2;ElevenLabs/TextToSpeech/Bella/238235ac-1c88-e843-bd18-9e38a27b2a2e.mp3;
DID_Lusha_Story1_1reco_emotion2;EXAVITQu4vr4xnSDxMaL;3;ElevenLabs/TextToSpeech/Bella/82dd0a3b-6d46-62dd-8dfe-5960393f01b8.mp3;
DID_Lusha_Story1_1reco_emotion2;EXAVITQu4vr4xnSDxMaL;4;ElevenLabs/TextToSpeech/Bella/ffb7df9e-1e0a-2897-eb91-c04a2e876d0a.mp3;
DID_Lusha_Story1_1reco_emotion2;EXAVITQu4vr4xnSDxMaL;5;ElevenLabs/TextToSpeech/Bella/aebaa807-2d9e-db5c-33b8-9d8d313997dd.mp3;
DID_Lusha_Story1_1reco_emotion2;EXAVITQu4vr4xnSDxMaL;6;ElevenLabs/TextToSpeech/Bella/23fa30ed-8e7b-b964-cfb1-dbe5873b0dc5.mp3;
DID_Lusha_Story1_1reco_emotion2;EXAVITQu4vr4xnSDxMaL;7;ElevenLabs/TextToSpeech/Bella/5c28eac0-0c85-65e4-0d24-1b5d23c570a2.mp3;
DID_Lusha_Story1_1reco_emotion2;EXAVITQu4vr4xnSDxMaL;8;ElevenLabs/TextToSpeech/Bella/b1e95847-0c71-eb22-aeb9-ca42d640313d.mp3;
DID_Lusha_Story1_1reco_emotion3;EXAVITQu4vr4xnSDxMaL;1;ElevenLabs/TextToSpeech/Bella/fe979655-8212-1dda-0fd1-048684cb7edc.mp3;
DID_Lusha_Story1_1reco_emotion3;EXAVITQu4vr4xnSDxMaL;2;ElevenLabs/TextToSpeech/Bella/f3727ba2-4c6a-0219-1afc-214c7df985e4.mp3;
DID_Lusha_Story1_1reco_emotion3;EXAVITQu4vr4xnSDxMaL;3;ElevenLabs/TextToSpeech/Bella/1f8824e6-8c7f-7230-d1b6-b1940cf8040d.mp3;
DID_Lusha_Story2_1reco_emotion1;EXAVITQu4vr4xnSDxMaL;1;ElevenLabs/TextToSpeech/Bella/a5fd1ef1-a55e-da82-41b0-e3acf74519e0.mp3;
DID_Lusha_Story2_1reco_emotion1_end;EXAVITQu4vr4xnSDxMaL;1;ElevenLabs/TextToSpeech/Bella/007169e1-a861-21bc-7797-b95c24197b5b.mp3;
DID_Lusha_Story2_1reco_emotion2;EXAVITQu4vr4xnSDxMaL;1;ElevenLabs/TextToSpeech/Bella/8320bc70-8b47-da7f-1321-0cbb86d679ae.mp3;
DID_Lusha_Story2_1reco_emotion2;EXAVITQu4vr4xnSDxMaL;2;ElevenLabs/TextToSpeech/Bella/5b0cbb9f-3c26-c0e1-67e1-e9fa19e844fe.mp3;
DID_Lusha_Story2_1reco_emotion2;EXAVITQu4vr4xnSDxMaL;3;ElevenLabs/TextToSpeech/Bella/2a9b2514-d455-952d-9667-9c56bc3244e6.mp3;
DID_Lusha_Story2_1reco_emotion2;EXAVITQu4vr4xnSDxMaL;4;ElevenLabs/TextToSpeech/Bella/d9ebf351-1581-3565-1729-93b737958479.mp3;
DID_Lusha_Story2_1reco_emotion2;EXAVITQu4vr4xnSDxMaL;5;ElevenLabs/TextToSpeech/Bella/dfa7f344-71c8-73d0-32a5-b21d4de107f3.mp3;
DID_Lusha_Story2_1reco_emotion2;EXAVITQu4vr4xnSDxMaL;6;ElevenLabs/TextToSpeech/Bella/6a1a32e5-9101-3079-2487-0a3ec3ef65ab.mp3;
